spec	outcome	pass	fail	error	pending	executed	ctl_pass	ctl_fail	blocker_class	first_blocker	hang_at	oxvimhost_pass	oxvimhost_fail
ex_cmds/marks_spec.lua	zero-pass	0	3	0	0	3	3	0	editor	Not implemented: setline		0	3
ex_cmds/menu_spec.lua	zero-pass	0	13	0	0	13	13	0	editor	not implemented: nnoremenu		0	13
ex_cmds/mksession_spec.lua	zero-pass	0	18	0	0	18	18	0	editor	not implemented: terminal		0	18
ex_cmds/mkview_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: mkview		0	1
ex_cmds/normal_spec.lua	partial	1	3	0	0	4	4	0	editor	assert eq: values differ		0	4
ex_cmds/oldfiles_spec.lua	zero-pass	0	5	0	0	5	5	0	protocol	screen: nvim_get_color_map not implemented		0	5
ex_cmds/pack_spec.lua	zero-pass	0	15	0	0	15	15	0	protocol	API not implemented via exec_lua		0	15
ex_cmds/print_commands_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	Not implemented: line		0	2
ex_cmds/profile_spec.lua	zero-pass	0	4	0	0	4	4	0	editor	E121: Undefined variable: v:profiling (byte <n>)		0	4
ex_cmds/quickfix_commands_spec.lua	zero-pass	0	6	0	0	6	6	0	editor	not implemented: lfile		0	6
ex_cmds/quit_spec.lua	clean	1	0	0	0	1	1	0				1	0
ex_cmds/script_spec.lua	zero-pass	0	0	1	0	1	16	0	editor	E117: Function is not implemented: expand (byte <n>)") }		0	1
ex_cmds/sign_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	not implemented: sign		0	2
ex_cmds/source_spec.lua	partial	1	13	0	1	14	14	0	editor	E484: : No such file or directory (os error <n>)		0	14
ex_cmds/swapfile_preserve_recover_spec.lua	zero-pass	0	16	0	1	16	16	0	editor	assert eq: values differ		0	16
ex_cmds/syntax_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
ex_cmds/trust_spec.lua	zero-pass	0	5	0	0	5	5	0	protocol	API not implemented via nvim_exec2		0	5
ex_cmds/undojoin_spec.lua	zero-pass	0	3	0	0	3	3	0	editor	not implemented: goto		0	3
ex_cmds/uptime_spec.lua	zero-pass	0	2	0	0	2	2	0	protocol	API not implemented via nvim_exec2		0	2
ex_cmds/verbose_spec.lua	zero-pass	0	5	5	0	10	80	0	protocol	API not implemented via nvim_exec2		0	10
ex_cmds/wincmd_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	Not implemented: winnr		0	1
ex_cmds/write_spec.lua	hang	0	2	0	0	2	21	2	editor	not implemented: !	T3 :write appends FIFO file	0	23
ex_cmds/wundo_spec.lua	partial	1	1	0	0	2	2	0	editor	not implemented: wundo		0	2
ex_cmds/wviminfo_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	not implemented: wshada		0	2
example_spec.lua	zero-pass	0	2	0	0	2	2	0	protocol	screen: nvim_get_color_map not implemented		0	2
harness/assert_spec.lua	clean	3	0	0	0	3	3	0				3	0
harness/harness_spec.lua	clean	48	0	0	0	48	48	0				0	48
legacy/002_filename_recognition_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E474: invalid value for option `isfname`: duplicate comm		0	1
legacy/004_bufenter_with_modelines_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E16: Search addresses are not implemented in ranges: .,		0	1
legacy/005_bufleave_delete_buffer_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E488: unterminated search pattern: /start of		0	1
legacy/007_ball_buffer_list_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E16: Search addresses are not implemented in ranges: .,		0	1
legacy/008_autocommands_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	Not implemented: bufname		0	1
legacy/011_autocommands_spec.lua	zero-pass	0	5	0	0	5	5	0	editor	assert eq: values differ		0	1
legacy/012_directory_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	Not implemented: buffer_name		0	2
legacy/015_alignment_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E16: Search addresses are not implemented in ranges: /^		0	1
legacy/018_unset_smart_indenting_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/019_smarttab_expandtab_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E518: Unknown option: t_kD		0	1
legacy/020_blockwise_visual_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/021_control_wi_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/023_edit_arguments_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E492: Not an editor command: s/|/PIPE/		0	1
legacy/025_jump_tag_hidden_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: !		0	1
legacy/026_execute_while_if_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/028_source_ctrl_v_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	E16: Search addresses are not implemented in ranges: /f		0	2
legacy/029_fuzzy_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E93: More than one match for buf_a		0	1
legacy/030_fileformats_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/031_close_commands_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E37: No write since last change (add ! to override)		0	1
legacy/033_lisp_indent_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E488: unterminated search pattern: /^(defun		0	1
legacy/034_user_function_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/035_increment_and_decrement_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E492: Not an editor command: <n>		0	1
legacy/036_regexp_character_classes_spec.lua	zero-pass	0	17	0	1	17	17	0	protocol	API not implemented via nvim_exec2		0	1
legacy/038_virtual_replace_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E518: Unknown option: t_kD		0	1
legacy/039_visual_block_mode_commands_spec.lua	zero-pass	0	8	0	0	8	8	0	editor	E518: Unknown option: ts&vi		0	8
legacy/043_magic_settings_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E523: E<n>: Pattern not found: g\*h\{<n>}i\+		0	1
legacy/044_099_regexp_multibyte_magic_spec.lua	zero-pass	0	2	0	0	2	2	0	editor	E523: E<n>: Pattern not found: g\*h\{<n>}i\+		0	2
legacy/046_multi_line_regexps_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E16: Search addresses are not implemented in ranges: /^		0	1
legacy/054_buffer_local_autocommands_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/055_list_and_dict_types_spec.lua	zero-pass	0	25	0	0	25	25	0	protocol	API not implemented via nvim_exec2		0	25
legacy/056_script_local_function_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: =		0	1
legacy/057_sort_spec.lua	zero-pass	0	30	0	0	30	30	0	editor	not implemented: sort		0	30
legacy/060_exists_and_has_functions_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/061_undo_tree_spec.lua	zero-pass	0	6	0	0	6	6	0	editor	retry() attempts: <n>		0	6
legacy/063_match_and_matchadd_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	screen: nvim_get_color_map not implemented		0	1
legacy/065_float_and_logic_operators_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
legacy/066_visual_block_tab_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/067_augroup_exists_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	not implemented: bfirst		0	1
legacy/068_text_formatting_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E523: E<n>: Pattern not found: mno pqr/		0	1
legacy/069_multibyte_formatting_spec.lua	zero-pass	0	12	0	0	12	12	0	editor	assert eq: values differ		0	12
legacy/072_undo_file_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E37: No write since last change (add ! to override)		0	1
legacy/074_global_var_in_viminfo_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	E121: Undefined variable: MY_GLOBAL_DICT (byte <n>)		0	2
legacy/081_coptions_movement_spec.lua	zero-pass	0	1	0	0	1	1	0	editor	assert eq: values differ		0	1
legacy/082_string_comparison_spec.lua	zero-pass	0	1	0	0	1	1	0	protocol	API not implemented via nvim_exec2		0	1
