test_viminfo.vim	partial	2	2	0	not implemented: oldfiles
test_vimscript.vim	setup-blocked	0	0	0	E492
test_virtualedit.vim	partial	30	27	0	E474
test_visual.vim	partial	79	67	1	not implemented: append
test_winbuf_close.vim	setup-blocked	0	0	0	E444
test_window_cmd.vim	setup-blocked	0	0	0	E444
test_window_id.vim	setup-blocked	0	0	0	E444
test_windows_home.vim	setup-blocked	0	0	1	no diagnostic
test_winfixbuf.vim	partial	144	144	0	not implemented: setqflist
test_wnext.vim	partial	2	2	0	not implemented: wnext
test_wordcount.vim	partial	1	1	0	not implemented: wordcount
test_writefile.vim	setup-blocked	0	0	0	E484
